Mountain Name,Elevation,Prominence,Isolation,Number of ascents,Latitude,Longitude,Distance,Elevation Change,Elevation Start,Elev per mile
Mount Sanford,16237,7637,40.2,9,62.213889,-144.128889,27,11837,4400,876.8148148
South Buttress,15885,315,1.2,1,63.0143658,-151.0059644,26,13320,2565,1024.615385
Mount Wood,15879,3806,11.3,4,61.232644,-140.5122186,29,5999,9880,413.7241379
Mount Vancouver,15787,8832,25.4,2,60.3352244,-139.692981,15,8787,7000,1171.6
Mount Churchill,15638,1138,2.2,1,61.418914,-141.7153505,18,5638,10000,626.4444444
Mount Slaggard,15558,1647,4.7,3,61.1726091,-140.5850297,20,7134,8424,713.4
Iztaccíhuatl - Los Pies,15387,492,0.6,13,19.146206,-98.633571,2.5,2526,12861,2020.8
Nevado de Toluca,15354,7251,73.1,135,19.10807815,-99.7593673,5.1,2883,12471,1130.588235
Mount Fairweather,15325,12963,124.4,21,58.9063722,-137.526114,14,5325,10000,760.7142857
Pico de Aguila,15157,131,1,17,19.116085,-99.766962,2.6,2273,12884,1748.461538
Sierra Negra,15026,1640,2.8,33,18.985883,-97.3151017,4.1,1863,13163,908.7804878
Pico de Humboldt,14698,591,1,17,19.110985,-99.747492,21.95,11886,2812,1083.006834
Cerro Colorado,14633,394,0.6,4,19.015688,-97.302601,1.7,1171,13462,1377.647059
Mount Hunter Lookout trail,14573,4623,5.3,9,62.9513815,-151.0939508,7.3,4179,10394,1144.931507
Volcán La Malinche,14560,6293,38.8,234,19.230955,-98.032031,7.5,4169,10391,1111.733333
Mount Alverstone,14500,1900,1.5,3,60.3525047,-139.074818,13,8550,5950,1315.384615
Mount Whitney,14498,10078,1646.3,3721,36.5785905,-118.2921377,20.9,6646,7852,635.9808612
University Peak,14470,3210,3.3,2,61.3270953,-141.7869759,17.4,7500,6970,862.0689655
Mount Elbert,14433,9073,670.6,2064,39.1179831,-106.4450474,9.5,4461,9972,939.1578947
Mount Massive,14421,1941,5.1,738,39.15177,-106.475619,13.1,4537,9884,692.6717557
Mount Harvard,14420,2340,14.9,524,34.2132363,-118.0621863,12.8,4475,9945,699.21875
Mount Rainier,14411,13246,731.2,2794,46.8521484,-121.757682,14.7,8986,5425,1222.585034
Mount Williamson,14373,1644,5.4,429,36.6560456,-118.311204,25.4,10104,4269,795.5905512
Blanca Peak,14345,5326,103.4,441,37.5776107,-105.4855278,19.7,6729,7616,683.1472081
La Plata Peak,14336,1816,6.2,626,39.0294519,-106.4729609,7.1,3625,10711,1021.126761
Uncompahgre Peak,14309,4277,85,482,38.0717523,-107.4625069,7.7,2841,11468,737.9220779
McArthur Peak,14304,3018,3.3,2,60.606389,-140.213611,15,5870,8434,782.6666667
Crestone Peak,14294,4534,27.4,305,37.9668836,-105.585452,3.5,5741,8553,3280.571429
Mount Lincoln,14286,3862,22.5,1074,39.3513775,-106.111409,5.5,2444,11842,888.7272727
Mount Massive - Green Peak,14280,80,0.3,80,39.15177,-106.111409,7,4000,10280,1142.857143
Grays Peak,14270,2750,25,1449,39.6338758,-105.8175092,7.3,3005,11265,823.2876712
Mount Antero,14269,2503,17.7,450,38.6741679,-106.2462052,15.2,4842,9427,637.1052632
Torreys Peak,14267,560,0.7,1293,39.6427647,-105.8213982,8.1,3605,10662,890.1234568
Castle Peak,14265,2345,20.9,417,39.0097131,-106.861429,5.9,3024,11241,1025.084746
Quandary Peak,14265,1105,3.2,1386,39.397289,-106.106431,6.6,3326,10939,1007.878788
Mount Evans,14264,2744,9.8,1188,39.5883492,-105.6436992,1.6,1338,12926,1672.5
Longs Peak,14255,2940,43.6,1033,40.2548911,-105.6152347,15.6,5498,8757,704.8717949
White Mountain Peak,14246,7196,67.5,1087,37.6340536,-118.2557165,15.2,3448,10798,453.6842105
Mount Wilson,14246,4024,33,273,37.8392109,-107.9916312,9.2,3809,10437,828.0434783
North Palisade,14242,2894,32.2,293,37.0941667,-118.514444,16.5,5492,8750,665.6969697
Crestone Peak - Northeast Peak,14240,80,0.1,22,37.966894,-105.585453,11,4310,13694.48,783.6363636
Crestone Peak - East Peak,14240,40,0.1,106,37.966894,-105.585453,13,4600,9640,707.6923077
Keeler Needle,14239,131,0.1,155,36.5755373,-118.291661,23.4,7456,6783,637.2649573
Mount Cameron,14238,118,0.5,917,22.2623198,114.1751637,4.3,2185,12053,1016.27907
Mount Shavano,14229,1619,3.8,617,38.6190989,-106.239238,9.3,4448,9781,956.5591398
Starlight Peak,14200,80,0.1,124,37.0950237,-118.5150147,4.4,2600,11600,1181.818182
Mount Princeton,14197,2157,5.2,539,38.7492358,-106.2424914,7,3339,10858,954
